ratio = 2.0260540606504365, flow_size = 0.000192MB
ratio = 2.520449653193016, flow_size = 0.004189MB
ratio = 2.1162408655752563, flow_size = 0.015277MB
ratio = 2.083471465782619, flow_size = 0.006194MB
ratio = 2.2104764723290913, flow_size = 0.006231MB
ratio = 3.112005365526492, flow_size = 0.000344MB
ratio = 2.255518828945815, flow_size = 0.006821MB
ratio = 3.392830972154372, flow_size = 2.7e-05MB
ratio = 2.248860911270983, flow_size = 0.003692MB
ratio = 2.077140668277447, flow_size = 0.007115MB
ratio = 2.2789911910220826, flow_size = 0.002416MB
ratio = 4.22242979390141, flow_size = 0.002661MB
ratio = 2.0885036989038284, flow_size = 0.025626MB
ratio = 3.2119625751837826, flow_size = 0.01892MB
ratio = 3.275530444190659, flow_size = 0.003146MB
ratio = 3.3279222230499887, flow_size = 1.405769MB
ratio = 3.0049310243616083, flow_size = 0.007929MB
ratio = 2.2134228187919462, flow_size = 0.03578MB
ratio = 3.1436467371924404, flow_size = 0.005421MB
ratio = 2.814937029093109, flow_size = 0.021614MB
ratio = 2.6607760976498454, flow_size = 0.001127MB
ratio = 2.2831549837681857, flow_size = 0.003111MB
ratio = 3.13952496954933, flow_size = 0.000584MB
ratio = 2.0823212683218664, flow_size = 0.004075MB
ratio = 7.460609246765385, flow_size = 1.846658MB
ratio = 2.899815714525046, flow_size = 0.018308MB
ratio = 7.804419963237748, flow_size = 1.770906MB
ratio = 2.7033396626828994, flow_size = 0.018291MB
ratio = 2.3850407569737433, flow_size = 0.095934MB
ratio = 2.016954320912362, flow_size = 0.000293MB
ratio = 2.206450854826391, flow_size = 0.007765MB
ratio = 4.209477940302057, flow_size = 0.005312MB
ratio = 4.75840099937539, flow_size = 1.809818MB
ratio = 4.2227231740306586, flow_size = 0.016361MB
ratio = 4.569873282170266, flow_size = 0.005201MB
ratio = 2.088334493281225, flow_size = 0.027529MB
ratio = 2.4444444444444446, flow_size = 0.020953MB
ratio = 2.7746644564461795, flow_size = 0.027803MB
ratio = 2.6510576749231602, flow_size = 0.002646MB
ratio = 5.1236872812135354, flow_size = 0.00915MB
ratio = 4.681845238095238, flow_size = 0.005094MB
ratio = 2.192009400705053, flow_size = 0.007753MB
ratio = 4.414601391771456, flow_size = 0.000111MB
ratio = 2.3195093457943927, flow_size = 0.090617MB
ratio = 7.614693037012467, flow_size = 1.53074MB
ratio = 4.274132863021752, flow_size = 0.007623MB
ratio = 2.8760219574865684, flow_size = 0.008998MB
ratio = 3.2833876221498373, flow_size = 0.013445MB
ratio = 3.335816923895689, flow_size = 0.006438MB
ratio = 2.393042876730943, flow_size = 0.770282MB
ratio = 2.882094757094757, flow_size = 0.003083MB
ratio = 3.9437013257237976, flow_size = 0.005351MB
ratio = 2.808516992175835, flow_size = 0.004428MB
ratio = 2.839044344320607, flow_size = 0.005946MB
ratio = 4.009984171435529, flow_size = 0.000652MB
ratio = 3.386427336156002, flow_size = 0.004753MB
ratio = 3.4333695783496436, flow_size = 0.002159MB
ratio = 5.479893732640986, flow_size = 0.002261MB
ratio = 3.6761861157213986, flow_size = 0.01312MB
ratio = 2.2342523279167428, flow_size = 0.000719MB
ratio = 3.6379268588035845, flow_size = 0.001733MB
ratio = 3.159034541165084, flow_size = 0.001921MB
ratio = 3.773231320517166, flow_size = 0.051025MB
ratio = 2.4103738046942915, flow_size = 0.010535MB
ratio = 2.33474248288181, flow_size = 0.005033MB
ratio = 2.4546817330077793, flow_size = 1.90527MB
ratio = 2.043040838195023, flow_size = 0.005074MB
ratio = 2.7392630837831495, flow_size = 0.008005MB
ratio = 2.6645626153754542, flow_size = 0.005011MB
ratio = 2.4964787068109846, flow_size = 0.057055MB
ratio = 3.408297729963453, flow_size = 0.036444MB
ratio = 2.6197133458646618, flow_size = 0.007792MB
ratio = 7.793554248794892, flow_size = 0.749961MB
ratio = 5.516198944770373, flow_size = 1.945557MB
ratio = 2.4009370816599733, flow_size = 0.000755MB
ratio = 2.2431043344183657, flow_size = 0.013597MB
ratio = 2.1946733548310045, flow_size = 0.004464MB
ratio = 2.0007873538852885, flow_size = 0.001674MB
ratio = 2.105603448275862, flow_size = 0.00399MB
ratio = 2.478333632179786, flow_size = 0.004274MB
ratio = 2.7959760739532356, flow_size = 0.024057MB
ratio = 2.094456559164467, flow_size = 0.012584MB
ratio = 2.16628034646822, flow_size = 0.000263MB
ratio = 2.9059237403540625, flow_size = 0.014961MB
ratio = 3.5987276294666746, flow_size = 0.00533MB
ratio = 2.2319790301441675, flow_size = 0.004972MB
ratio = 2.620313357312687, flow_size = 0.000365MB
ratio = 2.6487457342992275, flow_size = 0.003973MB
