ratio = 8.530447150857855, flow_size = 0.034935MB
ratio = 3.0924531459170015, flow_size = 0.185881MB
ratio = 5.5779768893283075, flow_size = 3.761182MB
ratio = 6.499176050535567, flow_size = 0.074452MB
ratio = 9.02297965915338, flow_size = 0.009211MB
ratio = 5.680410204422246, flow_size = 1.879926MB
ratio = 6.683344965808152, flow_size = 3.028074MB
ratio = 12.766529096541138, flow_size = 1.198366MB
ratio = 2.103858524382452, flow_size = 5.40773MB
ratio = 9.67328173918132, flow_size = 1.531321MB
ratio = 6.527513718638238, flow_size = 4.269671MB
ratio = 6.046998368125304, flow_size = 6.230397MB
ratio = 12.342705898528806, flow_size = 0.941742MB
ratio = 4.059227327059087, flow_size = 27.59122MB
ratio = 3.4872591960804433, flow_size = 7.340442MB
ratio = 4.727192737430167, flow_size = 2.462785MB
ratio = 5.651193929926356, flow_size = 1.233074MB
ratio = 2.6859832635983265, flow_size = 0.014783MB
ratio = 6.112105279975617, flow_size = 24.163566MB
ratio = 3.4285153496460694, flow_size = 2.776103MB
ratio = 3.4389561975768874, flow_size = 0.028737MB
ratio = 2.394265324982031, flow_size = 1.294699MB
ratio = 3.7782464941283775, flow_size = 0.005352MB
ratio = 7.932936234072414, flow_size = 2.475899MB
ratio = 3.574291094061771, flow_size = 0.325145MB
ratio = 4.003453436168988, flow_size = 0.004355MB
ratio = 4.00772945740252, flow_size = 8.134855MB
ratio = 3.775102711585867, flow_size = 0.045917MB
ratio = 10.551431403614306, flow_size = 1.308563MB
ratio = 3.3206795102970483, flow_size = 0.026423MB
ratio = 2.6147143559834163, flow_size = 0.070488MB
ratio = 2.6841097898680566, flow_size = 0.193642MB
ratio = 4.491985665917685, flow_size = 6.89708MB
ratio = 4.712640881549619, flow_size = 2.940139MB
ratio = 6.00275410865455, flow_size = 5.067375MB
ratio = 2.217162752594211, flow_size = 0.075458MB
ratio = 2.037524284913884, flow_size = 1.539971MB
ratio = 2.1187301587301586, flow_size = 0.032238MB
ratio = 3.5458710059978906, flow_size = 6.719707MB
ratio = 9.083697290611834, flow_size = 1.752341MB
ratio = 5.5471389815975485, flow_size = 8.302678MB
ratio = 2.0939207188580973, flow_size = 1.450298MB
ratio = 3.837617695411747, flow_size = 0.060356MB
ratio = 4.015374607046702, flow_size = 27.01775MB
ratio = 7.160330914073999, flow_size = 0.135766MB
ratio = 3.5354394821479462, flow_size = 0.193728MB
ratio = 3.2802036527299747, flow_size = 7.999499MB
ratio = 9.327599220316499, flow_size = 4.594114MB
ratio = 4.123220102373197, flow_size = 0.028921MB
ratio = 3.936879823594267, flow_size = 0.030568MB
ratio = 2.080763397371082, flow_size = 0.044748MB
ratio = 3.0588123153178914, flow_size = 0.025893MB
ratio = 2.3110619204307508, flow_size = 0.897584MB
ratio = 7.589157592963317, flow_size = 8.450547MB
ratio = 6.053052723884687, flow_size = 0.009568MB
ratio = 17.348899128131553, flow_size = 0.765341MB
ratio = 3.750798327144652, flow_size = 9.261007MB
ratio = 9.545322737456145, flow_size = 2.722423MB
ratio = 9.469934493818556, flow_size = 3.939316MB
ratio = 4.424084331832714, flow_size = 5.837457MB
ratio = 2.356672276989661, flow_size = 4.365313MB
ratio = 13.648603214520008, flow_size = 1.646153MB
ratio = 3.2059048056163095, flow_size = 4.994268MB
ratio = 5.4765396391556305, flow_size = 9.047546MB
ratio = 3.1109182577072487, flow_size = 0.045031MB
ratio = 2.1493799323562572, flow_size = 0.006542MB
ratio = 10.278503107881816, flow_size = 1.581726MB
ratio = 3.9568281807343664, flow_size = 24.821871MB
ratio = 11.76499944549185, flow_size = 0.008283MB
ratio = 2.466666666666667, flow_size = 0.092977MB
ratio = 7.638926858090232, flow_size = 5.310882MB
ratio = 2.0558313711027263, flow_size = 0.74161MB
ratio = 9.086680419478721, flow_size = 2.115181MB
ratio = 6.0098352885412964, flow_size = 0.001399MB
ratio = 4.155560609506482, flow_size = 0.005643MB
ratio = 5.5229431234157715, flow_size = 3.655788MB
ratio = 8.304991143065541, flow_size = 0.015196MB
ratio = 3.401374120227903, flow_size = 0.733304MB
ratio = 7.019426924545244, flow_size = 4.337253MB
ratio = 5.893692769240794, flow_size = 14.360516MB
ratio = 12.63666082895505, flow_size = 0.002929MB
ratio = 5.211499083953012, flow_size = 0.122078MB
ratio = 4.99170659329773, flow_size = 10.495892MB
ratio = 4.115071471052685, flow_size = 0.48233MB
ratio = 3.174867633070412, flow_size = 6.80989MB
ratio = 3.0344918532411205, flow_size = 2.342842MB
ratio = 7.774035319838971, flow_size = 1.37918MB
ratio = 3.141531761810092, flow_size = 0.02675MB
ratio = 9.31033870203695, flow_size = 0.102166MB
ratio = 4.7791579904009005, flow_size = 7.696586MB
ratio = 10.428964314462034, flow_size = 0.078561MB
ratio = 3.606176295919233, flow_size = 0.041331MB
ratio = 2.8907563025210083, flow_size = 0.071054MB
ratio = 3.2371077362742047, flow_size = 0.551853MB
ratio = 5.848707645728596, flow_size = 3.091774MB
ratio = 4.399372126920058, flow_size = 0.007109MB
ratio = 2.848302300109529, flow_size = 0.053186MB
ratio = 6.672711251275392, flow_size = 1.958174MB
ratio = 5.092144898432069, flow_size = 0.055161MB
ratio = 5.055354631303999, flow_size = 0.019475MB
ratio = 3.3193204472566524, flow_size = 0.038342MB
ratio = 2.1817602911075733, flow_size = 0.16299MB
ratio = 2.68535493498188, flow_size = 0.124561MB
ratio = 6.757084696499286, flow_size = 3.331409MB
ratio = 4.21479802143446, flow_size = 0.190084MB
ratio = 2.946478659574863, flow_size = 7.605966MB
ratio = 8.827940611151003, flow_size = 1.545184MB
ratio = 5.089102714048186, flow_size = 3.674027MB
ratio = 19.71640601653551, flow_size = 0.619174MB
ratio = 4.481356264058501, flow_size = 5.13974MB
ratio = 7.991272555725911, flow_size = 2.833615MB
ratio = 3.2216969983455446, flow_size = 0.001684MB
ratio = 2.7775616533518583, flow_size = 0.072445MB
ratio = 2.3364148841108916, flow_size = 9.631453MB
ratio = 7.013577657578099, flow_size = 0.008806MB
ratio = 6.715480619375597, flow_size = 3.696747MB
ratio = 5.915906167140299, flow_size = 14.318006MB
ratio = 5.8595373819541114, flow_size = 4.501921MB
ratio = 3.701127652271196, flow_size = 1.826789MB
ratio = 4.552337920175258, flow_size = 0.074992MB
ratio = 3.441860228440775, flow_size = 3.416755MB
ratio = 2.139633540933297, flow_size = 0.03291MB
ratio = 2.91502449026085, flow_size = 0.00545MB
ratio = 2.1375726077652093, flow_size = 0.067404MB
ratio = 2.457597933706414, flow_size = 0.039273MB
ratio = 2.2477022182690494, flow_size = 1.670851MB
ratio = 6.8329710932406, flow_size = 0.120248MB
ratio = 13.062272513660698, flow_size = 1.195137MB
ratio = 6.861007543570623, flow_size = 0.038291MB
ratio = 6.522848469931906, flow_size = 0.046117MB
ratio = 2.2089059923034635, flow_size = 0.161085MB
ratio = 10.655156270526554, flow_size = 4.894364MB
ratio = 2.9279616478169075, flow_size = 6.516306MB
ratio = 2.3061238477901207, flow_size = 4.947248MB
ratio = 3.319083151255308, flow_size = 0.768728MB
ratio = 3.6447889555278943, flow_size = 0.006138MB
ratio = 11.415336161668503, flow_size = 1.37396MB
ratio = 9.739897134459955, flow_size = 0.046862MB
ratio = 3.6939421338155514, flow_size = 0.006276MB
ratio = 8.724146026528935, flow_size = 0.002352MB
ratio = 8.85960274753887, flow_size = 2.305761MB
ratio = 2.1118945304351455, flow_size = 0.186637MB
ratio = 3.619690535815822, flow_size = 4.830307MB
ratio = 2.1024581553330064, flow_size = 0.071042MB
ratio = 2.949667830199302, flow_size = 0.006682MB
ratio = 2.1924683164396916, flow_size = 2.752121MB
ratio = 7.926340326340326, flow_size = 1.613345MB
ratio = 2.2990770765777, flow_size = 0.093831MB
ratio = 2.071509136025265, flow_size = 0.05936MB
ratio = 2.0563005015324602, flow_size = 0.585681MB
ratio = 2.1603219213081246, flow_size = 0.043747MB
ratio = 4.9433356218124755, flow_size = 7.683975MB
ratio = 3.1047116527942924, flow_size = 0.061225MB
ratio = 5.206327560343652, flow_size = 0.07568MB
ratio = 4.4999702504908665, flow_size = 0.101194MB
ratio = 5.603541417757896, flow_size = 2.905678MB
ratio = 8.79427549194991, flow_size = 0.027425MB
ratio = 4.908286875767782, flow_size = 4.862223MB
ratio = 2.279112670305908, flow_size = 0.689527MB
ratio = 6.417727766261968, flow_size = 0.021588MB
ratio = 2.704639650977431, flow_size = 3.454857MB
ratio = 6.553545270523316, flow_size = 4.932797MB
ratio = 6.211067853541593, flow_size = 8.831384MB
ratio = 7.083360916578652, flow_size = 8.585116MB
ratio = 6.749505644967572, flow_size = 6.10751MB
ratio = 5.773741490670322, flow_size = 3.459287MB
ratio = 10.689804639973838, flow_size = 4.204433MB
ratio = 2.2421748827193726, flow_size = 0.055851MB
ratio = 7.406153549382716, flow_size = 0.024403MB
ratio = 5.978650227125243, flow_size = 12.3993MB
ratio = 9.958060894260617, flow_size = 1.345494MB
ratio = 5.992694786174575, flow_size = 6.008825MB
ratio = 8.934212101898526, flow_size = 6.076441MB
ratio = 5.8835332361842845, flow_size = 0.007129MB
ratio = 4.309266741868548, flow_size = 5.896032MB
ratio = 9.342887103720765, flow_size = 3.085563MB
ratio = 2.8764552562988706, flow_size = 0.087656MB
ratio = 15.412888763304135, flow_size = 6.232442MB
ratio = 3.306156405990017, flow_size = 0.001079MB
ratio = 2.493558460679894, flow_size = 1.959404MB
ratio = 2.761055634807418, flow_size = 0.017812MB
ratio = 2.8047456278638045, flow_size = 1.519875MB
ratio = 5.3317003455774135, flow_size = 22.000465MB
ratio = 3.336, flow_size = 0.054744MB
ratio = 6.777927801528482, flow_size = 3.513767MB
ratio = 3.190922340204039, flow_size = 0.129915MB
ratio = 2.817971589032045, flow_size = 0.009038MB
ratio = 2.2345480528760273, flow_size = 0.217445MB
ratio = 4.228481150577468, flow_size = 0.010208MB
ratio = 3.2037062863376597, flow_size = 7.597999MB
ratio = 15.12501674929653, flow_size = 1.146973MB
ratio = 6.211814520293298, flow_size = 0.016227MB
ratio = 10.240140436574569, flow_size = 1.854148MB
ratio = 2.057196592543423, flow_size = 0.008559MB
ratio = 6.2492055527680215, flow_size = 0.043366MB
ratio = 4.106413418376834, flow_size = 8.687995MB
ratio = 6.146554641352659, flow_size = 25.595836MB
ratio = 8.611878624261374, flow_size = 1.632649MB
